"","Treatment","DaysHtoP","DaysPtoE","Pupate.ok","Eclose.ok","Mass.adult","Surv.eclose","Population","Type"
"1",16,11,15,"Yes","Yes",83.96,"Yes","NC","Pupal"
"2",21,15,11,"Yes","Yes",89.3,"Yes","NC","Pupal"
"3",26,15,NA,"Yes","",NA,"No","NC","Pupal"
"4",30,14,6,"Yes","Yes",78.67,"Yes","NC","Pupal"
"5",34,15,NA,"No","",NA,"No","NC","Pupal"
"6",16,15,NA,"No","",NA,"No","NC","Pupal"
"7",21,17,11,"Yes","Yes",74.77,"Yes","NC","Pupal"
"8",26,22,8,"Yes","No",143.29,"Yes","NC","Pupal"
"9",30,17,NA,"No","",NA,"No","NC","Pupal"
"10",34,15,8,"Yes","No",71.48,"Yes","NC","Pupal"
"11",16,15,19,"Yes","Yes",88.19,"Yes","NC","Pupal"
"12",21,17,9,"Yes","Yes",99.99,"Yes","NC","Pupal"
"13",26,17,8,"Yes","No",86.49,"Yes","NC","Pupal"
"14",30,19,6,"Yes","Yes",55.63,"Yes","NC","Pupal"
"15",34,17,7,"Yes","No",84.58,"Yes","NC","Pupal"
"16",16,17,19,"Yes","No",102.27,"Yes","NC","Pupal"
"17",21,15,10,"Yes","Yes",91.68,"Yes","NC","Pupal"
"18",26,13,7,"Yes","Yes",94.62,"Yes","NC","Pupal"
"19",30,12,7,"Yes","Yes",96.77,"Yes","NC","Pupal"
"20",34,11,NA,"Yes","",NA,"No","NC","Pupal"
"21",16,12,20,"Yes","Yes",92.47,"Yes","NC","Pupal"
"22",21,13,12,"Yes","Yes",99.13,"Yes","NC","Pupal"
"23",26,14,7,"Yes","Yes",101.86,"Yes","NC","Pupal"
"24",30,13,6,"Yes","",76.87,"Yes","NC","Pupal"
"25",34,14,8,"Yes","No",108.61,"Yes","NC","Pupal"
"26",16,13,18,"Yes","Yes",80.9,"Yes","NC","Pupal"
"27",21,12,11,"Yes","No",120.06,"Yes","NC","Pupal"
"28",26,14,7,"Yes","Yes",107.19,"Yes","NC","Pupal"
"29",30,13,NA,"No","",NA,"No","NC","Pupal"
"30",34,12,NA,"Yes","",NA,"No","NC","Pupal"
"31",16,12,NA,"No","",NA,"No","NC","Pupal"
"32",21,13,12,"Yes","No",66.06,"Yes","NC","Pupal"
"33",26,12,6,"Yes","No",109.21,"Yes","NC","Pupal"
"34",30,11,6,"Yes","",96.18,"Yes","NC","Pupal"
"35",34,12,NA,"Yes","",NA,"No","NC","Pupal"
"36",16,12,19,"Yes","Yes",111.43,"Yes","NC","Pupal"
"37",21,11,NA,"No","",NA,"No","NC","Pupal"
"38",26,12,7,"Yes","Yes",89.53,"Yes","NC","Pupal"
"39",30,12,6,"Yes","Yes",104.95,"Yes","NC","Pupal"
"40",34,11,8,"Yes","No",105.43,"Yes","NC","Pupal"
"41",16,12,18,"Yes","Yes",138.68,"Yes","NC","Pupal"
"42",21,13,NA,"Yes","",NA,"No","NC","Pupal"
"43",26,14,NA,"No","",NA,"No","NC","Pupal"
"44",34,12,NA,"Yes","",NA,"No","NC","Pupal"
"45",16,12,20,"Yes","Yes",104.9,"Yes","NC","Pupal"
"46",21,12,12,"Yes","Yes",111.16,"Yes","NC","Pupal"
"47",26,15,7,"Yes","Yes",81.33,"Yes","NC","Pupal"
"48",30,12,7,"Yes","Yes",89.63,"Yes","NC","Pupal"
"49",34,12,NA,"Yes","",NA,"No","NC","Pupal"
"50",16,13,NA,"No","",NA,"No","NC","Pupal"
"51",21,15,11,"Yes","Yes",145.62,"Yes","NC","Pupal"
"52",26,11,NA,"Yes","",NA,"No","NC","Pupal"
"53",30,12,7,"Yes","Yes",114.66,"Yes","NC","Pupal"
"54",34,12,8,"Yes","No",68.25,"Yes","NC","Pupal"
"55",16,11,18,"Yes","Yes",104.29,"Yes","NC","Pupal"
"56",21,13,NA,"No","",NA,"No","NC","Pupal"
"57",26,11,7,"Yes","Yes",92.36,"Yes","NC","Pupal"
"58",30,13,NA,"Yes","",NA,"No","NC","Pupal"
"59",34,13,NA,"Yes","",NA,"No","NC","Pupal"
"60",16,14,18,"Yes","Yes",109.06,"Yes","NC","Pupal"
"61",21,14,11,"Yes","Yes",157.28,"Yes","NC","Pupal"
"62",26,15,6,"Yes","Yes",120.95,"Yes","NC","Pupal"
"63",30,13,7,"Yes","No",104.86,"Yes","NC","Pupal"
"64",34,10,NA,"Yes","",NA,"No","NC","Pupal"
"65",16,11,19,"Yes","Yes",155.97,"Yes","NC","Pupal"
"66",21,12,NA,"Yes","",NA,"No","NC","Pupal"
"67",26,11,11,"Yes","Yes",103.77,"Yes","NC","Pupal"
"68",30,11,NA,"Yes","",NA,"No","NC","Pupal"
"69",34,16,8,"Yes","No",95.88,"Yes","NC","Pupal"
"70",16,15,18,"Yes","No",133.34,"Yes","NC","Pupal"
"71",21,15,10,"Yes","Yes",117.25,"Yes","NC","Pupal"
"72",26,14,NA,"No","",NA,"No","NC","Pupal"
"73",30,14,NA,"Yes","",NA,"No","NC","Pupal"
"74",34,14,8,"Yes","Yes",128.97,"Yes","NC","Pupal"
"75",16,14,17,"Yes","Yes",182.24,"Yes","NC","Pupal"
"76",21,14,11,"Yes","Yes",121.97,"Yes","NC","Pupal"
"77",30,15,7,"Yes","Yes",98.02,"Yes","NC","Pupal"
"78",34,11,NA,"Yes","",NA,"No","NC","Pupal"
"79",16,11,19,"Yes","Yes",136.71,"Yes","NC","Pupal"
"80",21,11,NA,"No","",NA,"No","NC","Pupal"
"81",26,11,7,"Yes","Yes",72.49,"Yes","NC","Pupal"
"82",30,11,6,"Yes","Yes",118.25,"Yes","NC","Pupal"
"83",34,14,NA,"Yes","",NA,"No","NC","Pupal"
"84",16,14,NA,"No","",NA,"No","NC","Pupal"
"85",21,15,NA,"Yes","",NA,"No","NC","Pupal"
"86",26,15,NA,"No","",NA,"No","NC","Pupal"
"87",30,15,6,"Yes","Yes",103.35,"Yes","NC","Pupal"
"88",34,15,8,"Yes","Yes",54.62,"Yes","NC","Pupal"
"89",16,12,19,"Yes","Yes",144.44,"Yes","NC","Pupal"
"90",21,13,NA,"No","",NA,"No","NC","Pupal"
"91",26,12,8,"Yes","Yes",87.91,"Yes","NC","Pupal"
"92",30,13,NA,"Yes","",NA,"No","NC","Pupal"
"93",34,13,8,"Yes","No",127.98,"Yes","NC","Pupal"
"94",16,11,17,"Yes","Yes",74.26,"Yes","NC","Pupal"
"95",21,12,11,"Yes","Yes",94.3,"Yes","NC","Pupal"
"96",26,12,7,"Yes","Yes",109.36,"Yes","NC","Pupal"
"97",30,12,6,"Yes","Yes",104.52,"Yes","NC","Pupal"
"98",34,11,NA,"Yes","",NA,"No","NC","Pupal"
"99",16,12,19,"Yes","Yes",96.23,"Yes","NC","Pupal"
"100",21,14,11,"Yes","No",125.55,"Yes","NC","Pupal"
"101",26,13,NA,"No","",NA,"No","NC","Pupal"
"102",30,12,NA,"Yes","",NA,"No","NC","Pupal"
"103",34,13,NA,"Yes","",NA,"No","NC","Pupal"
"104",16,12,17,"Yes","Yes",89.63,"Yes","NC","Pupal"
"105",21,12,10,"Yes","Yes",154.35,"Yes","NC","Pupal"
"106",26,12,NA,"Yes","",NA,"No","NC","Pupal"
"107",30,13,6,"Yes","Yes",89.41,"Yes","NC","Pupal"
"108",34,11,NA,"Yes","",NA,"No","NC","Pupal"
"109",16,13,NA,"Yes","",NA,"No","NC","Pupal"
"110",21,16,NA,"No","",NA,"No","NC","Pupal"
"111",26,13,7,"Yes","Yes",94.05,"Yes","NC","Pupal"
"112",30,16,NA,"No","",NA,"No","NC","Pupal"
"113",34,17,8,"Yes","No",101.15,"Yes","NC","Pupal"
"114",16,19,18,"Yes","Yes",151.76,"Yes","NC","Pupal"
"115",21,13,11,"Yes","Yes",98.45,"Yes","NC","Pupal"
"116",26,13,NA,"No","",NA,"No","NC","Pupal"
"117",30,13,NA,"Yes","",NA,"No","NC","Pupal"
"118",34,13,8,"Yes","No",101.32,"Yes","NC","Pupal"
"119",26,15,8,"Yes","No",96.46,"Yes","NC","Pupal"
"120",30,11,6,"Yes","No",96.16,"Yes","NC","Pupal"
"121",34,12,NA,"No","",NA,"No","NC","Pupal"
"122",16,12,NA,"No","",NA,"No","NC","Pupal"
"123",21,15,NA,"Yes","",NA,"No","NC","Pupal"
"124",26,18,NA,"No","",NA,"No","NC","Pupal"
"125",30,12,6,"Yes","No",118.46,"Yes","NC","Pupal"
"126",34,14,8,"Yes","No",127.51,"Yes","NC","Pupal"
"127",16,13,19,"Yes","Yes",89.55,"Yes","NC","Pupal"
"128",26,12,7,"Yes","Yes",80.63,"Yes","NC","Pupal"
"129",30,15,NA,"No","",NA,"No","NC","Pupal"
"130",34,15,8,"Yes","No",115.26,"Yes","NC","Pupal"
"131",16,16,18,"Yes","No",114.58,"Yes","NC","Pupal"
"132",21,15,11,"Yes","Yes",101.54,"Yes","NC","Pupal"
"133",26,17,8,"Yes","Yes",90.51,"Yes","NC","Pupal"
"134",30,12,7,"Yes","Yes",95.57,"Yes","NC","Pupal"
"135",34,13,8,"Yes","No",102.74,"Yes","NC","Pupal"
"136",16,13,18,"Yes","No",110.64,"Yes","NC","Pupal"
"137",21,12,9,"Yes","Yes",118.22,"Yes","NC","Pupal"
"138",26,13,7,"Yes","No",114.34,"Yes","NC","Pupal"
"139",30,13,9,"Yes","No",173.19,"Yes","NC","Pupal"
"140",34,13,8,"Yes","No",85.48,"Yes","NC","Pupal"
"141",16,13,17,"Yes","Yes",126.77,"Yes","NC","Pupal"
"142",21,16,11,"Yes","Yes",82.04,"Yes","NC","Pupal"
"143",26,13,8,"Yes","No",116.06,"Yes","NC","Pupal"
"144",30,13,6,"Yes","Yes",88.68,"Yes","NC","Pupal"
"145",34,11,8,"Yes","No",106.42,"Yes","NC","Pupal"
"146",16,14,NA,"Yes","",NA,"No","NC","Pupal"
"147",21,15,NA,"No","",NA,"No","NC","Pupal"
"148",26,15,NA,"No","",NA,"No","NC","Pupal"
"149",30,14,NA,"No","",NA,"No","NC","Pupal"
"150",34,14,NA,"Yes","",NA,"No","NC","Pupal"
"151",16,14,19,"Yes","Yes",75.89,"Yes","NC","Pupal"
"152",21,13,11,"Yes","Yes",63.45,"Yes","NC","Pupal"
"153",26,14,NA,"No","",NA,"No","NC","Pupal"
"154",30,12,NA,"No","",NA,"No","NC","Pupal"
"155",34,13,NA,"Yes","",NA,"No","NC","Pupal"
"156",16,14,NA,"Yes","",NA,"No","NC","Pupal"
"157",21,14,10,"Yes","Yes",76.01,"Yes","NC","Pupal"
"158",26,12,NA,"Yes","",NA,"No","NC","Pupal"
"159",30,13,7,"Yes","No",148.95,"Yes","NC","Pupal"
"160",34,13,NA,"No","",NA,"No","NC","Pupal"
"161",16,14,NA,"No","",NA,"No","NC","Pupal"
"162",21,13,11,"Yes","Yes",103.77,"Yes","NC","Pupal"
"163",26,12,7,"Yes","Yes",142.75,"Yes","NC","Pupal"
"164",30,12,7,"Yes","No",206.31,"Yes","NC","Pupal"
"165",34,13,7,"Yes","No",189.1,"Yes","NC","Pupal"
"166",16,12,16,"Yes","Yes",144.74,"Yes","NC","Pupal"
"167",21,12,NA,"No","",NA,"No","NC","Pupal"
"168",26,12,6,"Yes","No",135.53,"Yes","NC","Pupal"
"169",30,12,7,"Yes","Yes",119.66,"Yes","NC","Pupal"
"170",34,12,6,"Yes","No",92.57,"Yes","NC","Pupal"
"171",16,12,17,"Yes","No",163.53,"Yes","NC","Pupal"
"172",21,12,11,"Yes","Yes",189.05,"Yes","NC","Pupal"
"173",26,12,7,"Yes","Yes",177.81,"Yes","NC","Pupal"
"174",30,12,NA,"No","",NA,"No","NC","Pupal"
"175",34,12,8,"Yes","No",131.64,"Yes","NC","Pupal"
"176",16,12,19,"Yes","Yes",167.58,"Yes","NC","Pupal"
"177",21,13,11,"Yes","Yes",149.37,"Yes","NC","Pupal"
"178",26,13,7,"Yes","Yes",90.41,"Yes","NC","Pupal"
"179",30,12,NA,"No","",NA,"No","NC","Pupal"
"180",34,12,NA,"Yes","",NA,"No","NC","Pupal"
"181",16,13,16,"Yes","Yes",63.02,"Yes","NC","Pupal"
"182",21,12,10,"Yes","Yes",133.32,"Yes","NC","Pupal"
"183",26,13,7,"Yes","Yes",83.14,"Yes","NC","Pupal"
"184",30,15,6,"Yes","Yes",98.91,"Yes","NC","Pupal"
"185",16,17,NA,"No","",NA,"No","NC","Pupal"
"186",21,15,13,"Yes","No",95.8,"Yes","NC","Pupal"
"187",26,16,NA,"No","",NA,"No","NC","Pupal"
"188",30,16,7,"Yes","Yes",103.12,"Yes","NC","Pupal"
"189",34,17,NA,"Yes","",NA,"No","NC","Pupal"
"190",16,17,NA,"No","",NA,"No","NC","Pupal"
"191",21,15,NA,"No","",NA,"No","NC","Pupal"
"192",26,14,7,"Yes","Yes",94.9,"Yes","NC","Pupal"
"193",30,14,NA,"Yes","",NA,"No","NC","Pupal"
"194",34,15,11,"Yes","No",29.36,"Yes","NC","Pupal"
"195",16,14,18,"Yes","Yes",86.63,"Yes","NC","Pupal"
"196",21,13,11,"Yes","Yes",86.23,"Yes","NC","Pupal"
"197",26,15,NA,"No","",NA,"No","NC","Pupal"
"198",30,14,6,"Yes","No",115.09,"Yes","NC","Pupal"
"199",34,11,8,"Yes","No",92.55,"Yes","NC","Pupal"
"200",16,15,18,"Yes","Yes",169.17,"Yes","NC","Pupal"
"201",21,19,16,"Yes","No",51.13,"Yes","NC","Pupal"
"202",26,16,8,"Yes","Yes",89.25,"Yes","NC","Pupal"
"203",30,17,6,"Yes","Yes",80.02,"Yes","NC","Pupal"
"204",34,19,NA,"No","",NA,"No","NC","Pupal"
"205",21,17,NA,"No","",NA,"No","NC","Pupal"
"206",26,17,9,"Yes","Yes",64.98,"Yes","NC","Pupal"
"207",30,15,NA,"Yes","",NA,"No","NC","Pupal"
"208",34,15,9,"Yes","No",81.5,"Yes","NC","Pupal"
"209",16,14,18,"Yes","No",180.45,"Yes","NC","Pupal"
"210",21,14,11,"Yes","Yes",78.21,"Yes","NC","Pupal"
"211",26,14,7,"Yes","No",97.58,"Yes","NC","Pupal"
"212",30,14,6,"Yes","Yes",127.19,"Yes","NC","Pupal"
"213",34,15,7,"Yes","No",100.98,"Yes","NC","Pupal"
"214",16,15,18,"Yes","Yes",92.7,"Yes","NC","Pupal"
"215",21,14,11,"Yes","Yes",88.59,"Yes","NC","Pupal"
"216",26,15,7,"Yes","Yes",112.72,"Yes","NC","Pupal"
"217",30,15,6,"Yes","Yes",86.88,"Yes","NC","Pupal"
"218",34,14,7,"Yes","Yes",82.76,"Yes","NC","Pupal"
"219",16,14,17,"Yes","Yes",83.25,"Yes","NC","Pupal"
"220",21,16,NA,"No","",NA,"No","NC","Pupal"
"221",26,15,7,"Yes","Yes",88.06,"Yes","NC","Pupal"
"222",30,19,6,"Yes","Yes",91.05,"Yes","NC","Pupal"
"223",34,17,8,"Yes","No",109.75,"Yes","NC","Pupal"
"224",16,16,17,"Yes","Yes",129.08,"Yes","NC","Pupal"
"225",21,18,11,"Yes","No",165.97,"Yes","NC","Pupal"
"226",26,20,7,"Yes","",120.22,"Yes","NC","Pupal"
"227",30,15,6,"Yes","No",125.3,"Yes","NC","Pupal"
"228",34,16,8,"Yes","No",108.93,"Yes","NC","Pupal"
"229",16,16,15,"Yes","Yes",89.42,"Yes","NC","Pupal"
"230",21,17,12,"Yes","Yes",102.68,"Yes","NC","Pupal"
"231",26,18,NA,"No","",NA,"No","NC","Pupal"
"232",30,17,NA,"Yes","",NA,"No","NC","Pupal"
"233",34,18,NA,"No","",NA,"No","NC","Pupal"
"234",21,22,NA,"No","",NA,"No","NC","Pupal"
"235",26,22,NA,"No","",NA,"No","NC","Pupal"
"236",30,21,NA,"No","",NA,"No","NC","Pupal"
"237",26,28,8,"Yes","No",76.23,"Yes","NC","Pupal"
"238",16,19,NA,"no","",NA,"No","CA","Pupal"
"239",21,15,11,"yes","yes",98.76,"Yes","CA","Pupal"
"240",30,18,7,"yes","yes",62.62,"Yes","CA","Pupal"
"241",34,14,NA,"yes","",NA,"No","CA","Pupal"
"242",16,17,26,"yes","yes",73.35,"Yes","CA","Pupal"
"243",21,16,11,"yes","yes",79.02,"Yes","CA","Pupal"
"244",30,15,7,"yes","yes",92.47,"Yes","CA","Pupal"
"245",34,12,NA,"yes","",NA,"No","CA","Pupal"
"246",16,15,NA,"no","",NA,"No","CA","Pupal"
"247",21,15,11,"yes","yes",88.86,"Yes","CA","Pupal"
"248",30,13,7,"yes","",107.98,"Yes","CA","Pupal"
"249",16,15,18,"yes","yes",127.39,"Yes","CA","Pupal"
"250",21,14,10,"yes","yes",80.78,"Yes","CA","Pupal"
"251",30,22,NA,"yes","no",NA,"No","CA","Pupal"
"252",34,19,NA,"yes","",NA,"No","CA","Pupal"
"253",16,19,17,"yes","yes",152.25,"Yes","CA","Pupal"
"254",21,19,11,"yes","yes",73.51,"Yes","CA","Pupal"
"255",30,20,NA,"yes","no",NA,"No","CA","Pupal"
"256",34,17,NA,"yes","",NA,"No","CA","Pupal"
"257",21,16,11,"yes","yes",110.93,"Yes","CA","Pupal"
"258",30,16,7,"yes","yes",92.4,"Yes","CA","Pupal"
"259",34,14,NA,"yes","",NA,"No","CA","Pupal"
"260",16,17,17,"yes","yes",80.24,"Yes","CA","Pupal"
"261",21,14,11,"yes","yes",122.78,"Yes","CA","Pupal"
"262",30,15,7,"yes","yes",87.42,"Yes","CA","Pupal"
"263",34,17,NA,"yes","no",NA,"No","CA","Pupal"
"264",16,15,18,"yes","yes",81.24,"Yes","CA","Pupal"
"265",21,16,11,"yes","yes",85.32,"Yes","CA","Pupal"
"266",30,17,7,"yes","no",129.19,"Yes","CA","Pupal"
"267",34,18,8,"yes","yes",115.95,"Yes","CA","Pupal"
"268",16,17,18,"yes","no",84.03,"Yes","CA","Pupal"
"269",21,16,13,"yes","no",191.73,"Yes","CA","Pupal"
"270",30,17,NA,"yes","",NA,"No","CA","Pupal"
"271",16,18,NA,"yes","",NA,"No","CA","Pupal"
"272",21,20,NA,"no","",NA,"No","CA","Pupal"
"273",30,18,7,"yes","yes",108.21,"Yes","CA","Pupal"
"274",34,18,NA,"yes","",NA,"No","CA","Pupal"
"275",16,16,NA,"yes","",NA,"No","CA","Pupal"
"276",21,18,10,"yes","yes",152.88,"Yes","CA","Pupal"
"277",30,18,7,"yes","yes",122.75,"Yes","CA","Pupal"
"278",34,18,NA,"no","",NA,"No","CA","Pupal"
"279",16,18,17,"yes","yes",104.65,"Yes","CA","Pupal"
"280",21,24,11,"yes","yes",84.31,"Yes","CA","Pupal"
"281",30,14,7,"yes","yes",71.16,"Yes","CA","Pupal"
"282",34,16,NA,"no","",NA,"No","CA","Pupal"
"283",16,18,17,"yes","yes",118.12,"Yes","CA","Pupal"
"284",21,20,11,"yes","yes",59.21,"Yes","CA","Pupal"
"285",30,18,7,"yes","yes",100.79,"Yes","CA","Pupal"
"286",34,18,8,"yes","yes",86.76,"Yes","CA","Pupal"
"287",16,18,17,"yes","no",226.51,"Yes","CA","Pupal"
"288",21,13,11,"yes","yes",75.4,"Yes","CA","Pupal"
"289",30,12,7,"yes","yes",62.31,"Yes","CA","Pupal"
"290",34,11,8,"yes","no",116.1,"Yes","CA","Pupal"
"291",16,12,15,"yes","yes",103.67,"Yes","CA","Pupal"
"292",21,13,12,"yes","yes",73.52,"Yes","CA","Pupal"
"293",30,14,7,"yes","no",80.25,"Yes","CA","Pupal"
"294",34,16,7,"yes","no",127.05,"Yes","CA","Pupal"
"295",21,16,11,"yes","yes",106.8,"Yes","CA","Pupal"
"296",30,16,6,"yes","yes",77.17,"Yes","CA","Pupal"
"297",34,16,8,"yes","no",133.71,"Yes","CA","Pupal"
"298",16,18,14,"yes","yes",59.9,"Yes","CA","Pupal"
"299",21,16,11,"yes","yes",104.9,"Yes","CA","Pupal"
"300",30,18,6,"yes","no",56.05,"Yes","CA","Pupal"
"301",34,18,8,"yes","yes",55.05,"Yes","CA","Pupal"
"302",16,14,18,"yes","yes",75.61,"Yes","CA","Pupal"
"303",21,15,11,"yes","yes",62.3,"Yes","CA","Pupal"
"304",30,12,6,"yes","yes",63.25,"Yes","CA","Pupal"
"305",30,17,NA,"no","",NA,"No","CA","Pupal"
"306",21,22,11,"yes","yes",91.44,"Yes","CA","Pupal"
"307",16,12,16,"Yes","Yes",84.61,"Yes","WA","Pupal"
"308",16,13,NA,"Yes","No",50.02,"Yes","WA","Pupal"
"309",16,13,18,"Yes","Yes",63.82,"Yes","WA","Pupal"
"310",16,13,13,"Yes","Yes",118.88,"Yes","WA","Pupal"
"311",16,12,15,"Yes","Yes",83.11,"Yes","WA","Pupal"
"312",16,12,14,"Yes","Yes",58.32,"Yes","WA","Pupal"
"313",16,13,15,"Yes","Yes",111.17,"Yes","WA","Pupal"
"314",16,11,15,"Yes","Yes",87.28,"Yes","WA","Pupal"
"315",16,11,15,"Yes","Yes",66.78,"Yes","WA","Pupal"
"316",16,12,NA,"Yes","No",NA,"No","WA","Pupal"
"317",16,13,14,"Yes","Yes",145.89,"Yes","WA","Pupal"
"318",16,15,16,"Yes","Yes",70.41,"Yes","WA","Pupal"
"319",16,15,NA,"Yes","No",NA,"No","WA","Pupal"
"320",21,13,NA,"Yes","No",NA,"No","WA","Pupal"
"321",21,12,NA,"Yes","No",NA,"No","WA","Pupal"
"322",21,12,9,"Yes","Yes",90.66,"Yes","WA","Pupal"
"323",21,11,9,"Yes","Yes",78.32,"Yes","WA","Pupal"
"324",21,12,9,"Yes","Yes",84.95,"Yes","WA","Pupal"
"325",21,13,9,"Yes","Yes",69.2,"Yes","WA","Pupal"
"326",21,13,8,"Yes","Yes",97.07,"Yes","WA","Pupal"
"327",21,13,9,"Yes","Yes",93.63,"Yes","WA","Pupal"
"328",21,15,NA,"Yes","No",NA,"No","WA","Pupal"
"329",21,11,9,"Yes","Yes",75.17,"Yes","WA","Pupal"
"330",21,12,9,"Yes","Yes",84.82,"Yes","WA","Pupal"
"331",21,15,8,"Yes","Yes",71.49,"Yes","WA","Pupal"
"332",21,16,9,"Yes","Yes",88.35,"Yes","WA","Pupal"
"333",26,13,6,"Yes","Yes",112.54,"Yes","WA","Pupal"
"334",26,12,6,"Yes","Yes",137.87,"Yes","WA","Pupal"
"335",26,12,6,"Yes","Yes",86.37,"Yes","WA","Pupal"
"336",26,13,7,"Yes","Yes",101.84,"Yes","WA","Pupal"
"337",26,12,7,"Yes","Yes",69.05,"Yes","WA","Pupal"
"338",26,11,NA,"Yes","No",55.91,"Yes","WA","Pupal"
"339",26,13,6,"Yes","Yes",88.33,"Yes","WA","Pupal"
"340",26,13,7,"Yes","Yes",67.95,"Yes","WA","Pupal"
"341",26,11,6,"Yes","Yes",78.45,"Yes","WA","Pupal"
"342",26,13,5,"Yes","Yes",98.35,"Yes","WA","Pupal"
"343",26,15,6,"Yes","Yes",100.55,"Yes","WA","Pupal"
"344",26,15,NA,"Yes","No",NA,"No","WA","Pupal"
"345",26,16,7,"Yes","Yes",111.67,"Yes","WA","Pupal"
"346",30,13,6,"Yes","Yes",88.4,"Yes","WA","Pupal"
"347",30,12,6,"Yes","Yes",78.65,"Yes","WA","Pupal"
"348",30,12,6,"Yes","Yes",80.19,"Yes","WA","Pupal"
"349",30,13,6,"Yes","Yes",110.54,"Yes","WA","Pupal"
"350",30,11,7,"Yes","Yes",71.27,"Yes","WA","Pupal"
"351",30,13,6,"Yes","Yes",86.19,"Yes","WA","Pupal"
"352",30,11,6,"Yes","Yes",65.63,"Yes","WA","Pupal"
"353",30,13,NA,"Yes","No",NA,"No","WA","Pupal"
"354",30,12,6,"Yes","Yes",71.02,"Yes","WA","Pupal"
"355",30,13,6,"Yes","Yes",61,"Yes","WA","Pupal"
"356",30,15,5,"Yes","Yes",69.95,"Yes","WA","Pupal"
"357",30,15,5,"Yes","Yes",122.15,"Yes","WA","Pupal"
"358",30,16,5,"Yes","Yes",74.98,"Yes","WA","Pupal"
"359",34,12,NA,"Yes","No",NA,"No","WA","Pupal"
"360",34,13,NA,"Yes","No",NA,"No","WA","Pupal"
"361",34,13,NA,"Yes","No",NA,"No","WA","Pupal"
"362",34,12,9,"Yes","Yes",72.89,"Yes","WA","Pupal"
"363",34,12,8,"Yes","Yes",67.03,"Yes","WA","Pupal"
"364",34,13,NA,"Yes","No",NA,"No","WA","Pupal"
"365",34,13,NA,"Yes","No",NA,"No","WA","Pupal"
"366",34,11,7,"Yes","Yes",87.29,"Yes","WA","Pupal"
"367",34,13,NA,"Yes","No",NA,"No","WA","Pupal"
"368",34,15,NA,"Yes","No",NA,"No","WA","Pupal"
"369",34,13,NA,"Yes","No",NA,"No","WA","Pupal"
"370",34,15,NA,"Yes","No",NA,"No","WA","Pupal"
"371",34,16,NA,"Yes","No",NA,"No","WA","Pupal"
"372",NA,13,NA,"No","No",NA,"No","WA","Pupal"
"373",NA,13,NA,"No","No",NA,"No","WA","Pupal"
"374",NA,15,NA,"No","No",NA,"No","WA","Pupal"
